35,66,14,42,13,68,82,46,63,55,90,77,32,29,37,35,23,80,15,47
88,65,39,73,64,13,75,60,5,56,62,63,57,19,86,80,70,70,61,60
5,9,1,26,54,72,85,60,16,6,64,7,46,25,48,14,68,58,25,82
15,87,39,75,37,39,84,86,66,80,25,22,78,66,75,8,48,37,49,90
23,90,51,29,30,78,31,56,25,74,17,73,48,34,59,47,34,72,53,52
47,19,5,40,37,15,2,51,75,80,80,13,60,42,9,72,80,72,66,22
29,76,89,38,24,56,36,4,75,58,11,41,48,79,88,43,63,55,87,80
64,31,52,82,7,17,70,83,78,90,17,69,1,15,42,52,67,34,75,84
47,15,80,29,7,90,9,63,22,45,44,60,82,34,22,4,31,35,19,65
80,33,71,83,75,23,28,55,56,43,62,86,16,80,34,77,61,59,43,81
56,55,70,19,15,33,15,3,42,78,55,57,41,15,82,19,90,73,83,68
24,25,80,16,85,36,27,85,13,77,1,6,17,22,15,11,58,72,80,77
59,2,42,41,49,8,75,36,3,47,20,28,40,19,63,75,6,58,63,20
68,35,5,48,19,40,41,85,89,57,11,80,82,15,23,74,7,18,85,10
52,75,79,81,58,84,12,21,37,23,69,70,27,61,73,61,58,41,45,66
66,71,17,72,18,68,17,77,60,39,1,90,61,21,30,23,24,27,10,4
77,5,79,86,45,25,21,51,68,54,49,1,45,80,53,47,77,90,33,79
30,59,74,61,66,45,11,66,62,27,41,58,18,3,88,27,1,87,3,30
58,59,2,69,82,52,18,89,46,50,48,82,79,66,19,69,83,14,36,7
81,61,25,18,29,8,50,62,88,40,74,49,52,56,27,81,40,16,58,63
