15001 26107
00:00:05 9140 1312
00:00:06 1078 1986
00:00:09 7705 2116
00:00:11 6260 2077
00:00:15 9275 1393
00:00:18 2879 1445
00:00:19 4108 1869
00:00:26 1334 1866
00:00:31 9488 1690
00:00:35 5411 2442
00:00:48 2229 2547
00:00:50 9129 1135
00:00:51 7090 1309
00:00:52 5144 1406
00:01:00 9094 1306
00:01:06 1260 1189
00:01:18 9933 1728
00:01:19 3782 1783
00:01:20 1833 1999
00:01:24 6822 2173
00:01:25 4863 2341
00:01:29 2303 1714
00:01:30 3627 2070
00:01:45 9502 1644
00:01:54 3782 1576
00:01:57 8184 2512
00:02:00 1555 2366
00:02:05 7090 1670
00:02:15 4485 1416
00:02:22 7269 1909
00:02:26 5130 1053
00:02:35 8470 1685
00:02:38 2117 1969
00:02:40 7040 2558
00:02:54 4785 1696
00:02:57 8231 1786
00:03:04 8231 1236
00:03:07 4122 2196
00:03:08 6339 1200
00:03:16 6260 1696
00:03:32 4971 2306
00:03:39 1079 1865
00:03:40 1063 2546
00:03:45 6822 2490
00:03:48 6364 2326
00:04:06 1426 2395
00:04:07 7204 2048
00:04:12 9094 2221
00:04:18 1925 1100
00:04:20 8843 1260
00:04:21 8234 1848
00:04:23 5108 1279
00:04:24 8754 1058
00:04:28 4909 2583
00:04:29 7496 2549
00:04:30 4783 1055
00:04:31 7532 1638
00:04:33 6291 1856
00:04:43 9882 1405
00:04:44 9291 1693
00:04:45 6633 1620
00:04:47 9140 1527
00:04:51 1536 1672
00:04:52 7207 1325
00:05:07 9855 2532
00:05:09 8803 1960
00:05:22 1258 2329
00:05:46 6364 2294
00:05:48 6881 1109
00:05:52 2229 1830
00:05:54 8811 2082
00:06:01 2932 2433
00:06:07 1925 1158
00:06:11 5081 1563
00:06:17 3927 1496
00:06:19 3820 1922
00:06:20 2879 1442
00:06:25 7091 1763
00:06:26 1769 1134
00:06:33 7958 1977
00:06:35 8257 1184
00:06:47 6496 2067
00:06:54 2552 1578
00:06:55 9015 1317
00:07:02 1555 2019
00:07:23 9928 1688
00:07:25 3627 2382
00:07:27 8447 1469
00:07:32 4108 2542
00:07:38 5144 1060
00:07:48 9140 1338
00:07:52 3782 1710
00:07:53 8523 1793
00:07:58 2552 1719
00:08:01 8438 2100
00:08:08 9129 1862
00:08:10 6496 2084
00:08:12 7152 2359
00:08:25 8754 2537
00:08:27 1555 1873
00:08:36 1937 1463
00:08:51 6229 2399
00:08:53 9502 1902
00:09:05 2303 2416
00:09:16 7496 1621
00:09:17 8803 1960
00:09:19 9381 1213
00:09:31 3337 1761
00:09:32 6262 2415
00:09:38 4971 2501
00:09:51 6414 2085
00:09:57 4749 2284
00:10:11 1270 1620
00:10:12 2223 1481
00:10:29 4393 1420
00:10:32 8847 2011
00:10:49 8447 1815
00:10:50 4435 2320
00:10:53 1260 2412
00:11:00 6496 1306
00:11:01 7269 1885
00:11:14 7152 2510
00:11:15 7655 2271
00:11:21 4722 1914
00:11:37 2942 2205
00:11:39 3592 1409
00:11:46 9291 1441
00:11:47 5130 2132
00:11:52 7040 1468
00:12:05 4122 2474
00:12:08 8935 2416
00:12:13 7204 2200
00:12:18 3782 2122
00:12:22 6203 1154
00:12:23 1260 1007
00:12:31 5829 1547
00:12:38 7775 2005
00:12:46 8612 2018
00:12:48 8997 2366
00:12:50 4863 1450
00:12:53 4346 2565
00:12:59 2117 1813
00:13:00 6820 2119
00:13:04 1258 2516
00:13:11 1334 1609
00:13:14 5030 2494
00:13:15 1933 2116
00:13:21 7040 1384
00:13:22 8887 1016
00:13:23 9571 1505
00:13:37 6262 2514
00:13:46 8997 1120
00:14:05 7655 1270
00:14:12 2523 1043
00:14:26 7750 1408
00:14:34 7750 1601
00:14:44 8301 1305
00:14:46 5033 1717
00:14:56 8935 2582
00:15:11 1075 2371
00:15:21 3782 2089
00:15:23 9308 2052
00:15:24 4485 1184
00:15:26 9878 1298
00:15:27 9140 1095
00:15:29 1075 1539
00:15:36 4901 1116
00:15:37 4769 1864
00:15:42 7528 1585
00:15:53 8935 1083
00:15:55 4346 1781
00:15:56 7532 1819
00:15:59 5990 1288
00:16:04 5946 2158
00:16:09 6291 1284
00:16:11 7496 2398
00:16:12 1075 1902
00:16:20 4783 2452
00:16:32 7496 1300
00:16:38 4971 2302
00:16:41 1079 1942
00:16:44 9129 1538
00:16:52 2932 1344
00:16:53 6262 2101
00:16:57 4863 2200
00:17:03 7040 1752
00:17:10 1899 1189
00:17:13 7040 1322
00:17:17 7496 1435
00:17:20 8284 1425
00:17:24 8887 2312
00:17:35 6364 1324
00:17:39 2418 2483
00:17:54 4595 2397
00:17:58 8941 1523
00:18:00 4108 2067
00:18:03 9488 1818
00:18:04 3337 1184
00:18:14 7792 1701
00:18:15 3782 1896
00:18:21 3592 1059
00:18:23 8811 1621
00:18:26 7040 1865
00:18:28 7958 2276
00:18:29 9496 1323
00:18:32 1014 1114
00:18:35 9308 1153
00:18:38 8523 1208
00:18:41 5946 1558
00:18:42 8997 1954
00:18:44 4901 1543
00:18:46 7705 2101
00:18:50 7292 1108
00:18:51 7750 2339
00:18:52 3662 1244
00:18:59 5418 2371
00:19:13 1101 1540
00:19:27 4769 2133
00:19:28 4405 1852
00:19:41 8301 1232
00:19:44 7528 1004
00:19:52 8438 1561
00:19:53 1936 1140
00:19:59 8470 1532
00:20:19 8754 2004
00:20:21 1075 2532
00:20:23 4863 1732
00:20:25 8754 2502
00:20:32 2523 2292
00:20:33 6278 1273
00:20:35 9342 2535
00:20:38 9623 1817
00:20:43 8811 1275
00:20:49 1155 1600
00:20:52 8523 1470
00:20:55 7705 1528
00:20:56 8803 1061
00:21:02 1278 1239
00:21:24 1101 1575
00:21:26 1278 1580
00:21:27 8887 2112
00:21:29 9991 1878
00:21:34 5946 1522
00:21:37 2523 1972
00:21:39 4901 1949
00:21:41 8887 1486
00:21:44 7958 2306
00:21:48 9015 2340
00:21:49 5829 1782
00:21:50 4595 2126
00:21:52 8941 2597
00:21:56 4783 1784
00:22:05 1536 2233
00:22:06 6282 2082
00:22:12 4971 1272
00:22:15 9295 1250
00:22:16 6260 1380
00:22:19 7040 1978
00:22:25 2901 2413
00:22:27 7791 1110
00:22:49 2924 1312
00:22:54 4863 1668
00:23:15 6229 1540
00:23:22 5296 1810
00:23:29 8447 1186
00:23:30 3782 1237
00:23:31 3064 1892
00:23:37 1402 1437
00:23:41 1063 1527
00:23:49 8164 1048
00:23:50 8164 1223
00:24:03 8470 1161
00:24:04 4722 1966
00:24:12 5990 1422
00:24:16 7207 2221
00:24:18 9291 1222
00:24:29 5030 1593
00:24:38 7868 1953
00:24:44 6541 1988
00:24:49 4971 2431
00:24:58 8847 2035
00:25:00 6291 1263
00:25:04 2599 2382
00:25:05 9094 1760
00:25:15 9855 1868
00:25:22 9381 1666
00:25:25 8811 1002
00:25:29 1523 1939
00:25:33 8184 1849
00:25:45 7292 2167
00:25:50 7791 2024
00:25:59 4500 1787
00:26:06 8847 2375
00:26:07 6848 1900
00:26:14 5418 2516
00:26:16 1925 1319
00:26:17 4108 1238
00:26:21 9308 2606
00:26:26 8231 2023
00:26:29 5611 1055
00:26:32 2312 1348
00:26:44 6633 1755
00:26:46 8785 1901
00:26:50 1933 2155
00:26:54 9991 1312
00:27:03 3561 2218
00:27:07 3790 1230
00:27:11 1014 1661
00:27:13 5411 2410
00:27:18 9878 2092
00:27:23 9882 1472
00:27:26 8184 1145
00:27:32 7090 1479
00:27:33 6496 1050
00:27:40 4405 1360
00:27:43 4393 1661
00:27:45 9882 2066
00:27:54 9094 2163
00:27:59 6882 1158
00:28:00 9878 1071
00:28:02 1536 2124
00:28:09 6441 1589
00:28:12 3834 1555
00:28:13 2117 1520
00:28:41 4108 1040
00:28:55 4346 2389
00:29:00 1555 1608
00:29:02 3337 1631
00:29:10 6881 2235
00:29:18 8257 1801
00:29:21 8284 1709
00:29:23 8811 2077
00:29:24 6260 2497
00:29:25 3782 1712
00:29:28 8447 1832
00:29:29 4050 1551
00:29:31 4500 2104
00:29:32 9878 2061
00:29:33 7292 2174
00:29:34 8523 1918
00:29:40 5990 2366
00:29:44 2418 2454
00:29:59 9094 1447
00:30:00 4435 1728
00:30:16 1936 1349
00:30:20 1078 1324
00:30:27 7532 2512
00:30:28 9623 1142
00:30:40 8438 2408
00:30:43 3201 1989
00:30:44 6820 1107
00:30:45 9308 1759
00:30:46 3201 2404
00:30:53 5611 1213
00:30:57 8438 1278
00:31:00 1014 2224
00:31:01 1402 1398
00:31:08 6848 1772
00:31:11 2932 1468
00:31:16 9502 2576
00:31:19 4595 1316
00:31:37 9933 1431
00:31:43 9015 2233
00:31:53 5990 1868
00:31:58 9140 2538
00:32:04 5030 2470
00:32:14 7292 1927
00:32:28 1937 1552
00:32:30 5829 2372
00:32:31 9623 1594
00:32:32 3927 2163
00:32:33 8811 1058
00:32:35 9308 1306
00:32:47 7679 1247
00:32:51 3691 1986
00:32:54 8843 1101
00:33:04 5990 2589
00:33:05 5611 1823
00:33:12 7040 2049
00:33:13 4108 1518
00:33:22 1101 2097
00:33:31 4393 2177
00:33:33 7040 1658
00:33:35 3201 1634
00:33:45 5130 1441
00:33:47 1994 2263
00:33:48 2901 2096
00:33:51 5418 1343
00:34:07 7594 2558
00:34:08 3662 2591
00:34:11 9627 1563
00:34:12 4783 1837
00:34:15 9570 1213
00:34:29 5946 1793
00:34:34 2383 1276
00:34:35 1155 1823
00:34:36 6414 1151
00:34:38 7040 1969
00:34:45 3561 1096
00:34:48 7273 1660
00:34:51 4599 1043
00:34:54 7532 2117
00:35:11 4909 1938
00:35:14 6414 1986
00:35:22 5130 2581
00:35:38 7040 2507
00:35:43 4405 1359
00:35:46 9928 1603
