58;86;44;18
139;82;92;5
79;30;17;12
150;91;62;108
145;147;86;6
73;132;103;81
66;85;65;50
42;116;115;62
109;33;93;145
89;131;124;99
149;136;3;43
43;10;60;39
39;100;50;149
63;143;38;57
139;128;54;128
65;94;11;30
94;122;37;104
136;75;98;33
90;81;62;31
122;149;97;1
107;84;142;49
21;79;139;142
29;93;60;12
64;9;5;2
6;5;138;134
118;21;65;25
39;141;66;46
82;85;62;110
60;112;74;15
17;76;92;27
95;41;141;14
108;8;109;28
8;8;12;78
28;6;44;77
9;45;11;134
85;23;59;91
126;118;24;127
110;135;40;11
6;28;76;14
127;80;116;81
97;117;46;128
97;55;20;31
137;140;83;104
65;127;142;54
137;139;121;100
41;81;101;16
22;141;114;101
19;144;107;115
123;99;43;115
67;93;81;81
64;122;110;143
109;30;134;109
10;117;59;38
105;2;104;142
68;130;79;55
41;72;43;108
33;117;13;125
90;18;115;36
43;43;60;66
113;130;19;95
147;48;33;123
83;11;6;100
85;30;16;29
40;46;72;23
148;29;69;10
37;51;36;134
96;137;103;84
19;92;97;104
17;4;36;104
85;14;17;141
81;93;65;92
113;48;34;51
90;59;114;111
99;70;26;94
5;129;98;133
55;63;15;75
113;127;32;147
148;119;72;91
11;133;144;82
12;12;12;1
49;42;16;50
141;147;33;109
142;28;16;131
121;101;40;57
103;12;125;52
45;67;42;57
20;12;21;105
50;131;144;37
43;118;10;146
92;108;122;98
119;107;92;129
23;84;1;51
126;114;134;149
130;26;9;60
92;143;12;120
145;86;32;65
68;79;148;130
144;71;122;107
31;45;41;30
104;113;20;57
3;29;78;11
2;66;109;47
105;27;77;89
1;100;2;1
70;12;23;144
71;23;55;26
42;27;44;27
8;131;79;106
135;109;11;100
39;53;104;141
136;143;7;41
31;42;40;144
13;55;89;69
115;117;15;90
6;73;137;22
3;88;86;138
122;140;29;84
35;103;6;137
63;9;21;97
7;102;34;150
144;124;103;5
20;135;98;30
59;36;96;22
57;106;27;67
44;21;41;12
89;126;102;100
83;1;89;126
46;103;99;104
49;2;17;89
71;108;88;150
18;7;63;56
96;119;144;78
56;109;14;90
60;41;34;68
102;10;138;59
135;47;15;20
97;28;107;14
53;35;123;69
13;17;103;27
99;28;81;124
23;39;52;116
108;8;112;68
107;92;110;16
142;45;135;54
75;134;55;80
3;15;21;90
129;16;123;127
128;149;150;125
23;103;36;149
10;61;46;20
99;85;85;150
67;139;127;68
140;140;10;145
51;117;47;37
114;42;48;91
59;6;97;142
145;34;138;60
124;27;98;75
136;80;89;107
130;103;92;113
98;17;136;127
95;85;131;25
