41;42;89;11;61;24;92;51
78;36;87;17;77;11;84;71
44;67;44;21;44;94;59;90
95;81;63;17;16;55;66;56
14;24;23;34;40;45;71;50
46;50;60;19;11;70;42;59
31;80;92;33;14;16;91;75
59;39;71;95;42;86;89;85
40;20;93;67;56;80;56;22
69;62;90;58;19;14;40;23
23;36;88;70;49;34;62;83
68;79;23;72;57;89;76;26
96;47;33;29;49;16;79;92
22;58;22;96;69;11;53;24
21;57;36;55;62;57;63;89
13;29;74;75;77;10;66;68
18;60;91;38;39;67;52;68
77;36;99;53;57;88;57;27
37;41;45;84;54;37;83;61
93;50;52;96;76;81;98;99
43;11;68;79;33;99;99;95
34;33;85;26;15;79;66;94
68;15;40;89;88;99;16;79
41;61;82;40;72;29;63;98
67;69;50;35;98;67;84;39
20;47;55;10;78;40;85;14
79;66;10;96;59;19;96;22
22;11;26;90;21;57;71;67
42;47;17;47;21;57;63;42
97;24;50;81;82;96;19;66
17;40;25;34;70;23;49;48
33;43;80;77;24;45;44;20
23;25;99;97;32;81;72;52
32;20;34;34;49;21;90;39
59;58;14;86;18;40;23;93
51;38;86;30;31;40;55;36
43;72;66;24;67;43;22;27
52;45;11;59;64;34;14;48
99;22;63;31;96;18;96;71
34;83;41;36;27;28;67;99
99;40;69;93;62;73;95;82
93;78;97;86;83;58;86;34
47;71;47;11;51;48;81;51
84;32;60;90;43;74;50;22
10;59;44;41;84;12;41;45
19;55;87;85;61;28;66;48
69;35;26;79;89;26;70;94
37;39;16;83;36;60;11;54
32;53;98;21;46;56;44;41
90;21;98;11;81;13;25;17
66;15;69;37;16;55;31;27
59;71;57;53;27;87;95;92
92;16;90;30;31;90;35;63
32;13;89;49;67;86;85;25
20;24;64;57;53;99;12;49
45;79;11;52;47;95;38;86
51;13;28;60;18;17;16;22
61;53;40;74;68;16;42;80
55;47;25;93;34;14;23;41
78;99;45;48;60;72;55;31
38;13;58;76;14;80;83;62
70;46;91;91;79;96;65;75
85;60;60;59;48;63;74;44
26;43;94;15;80;78;29;29
91;51;79;49;60;55;10;47
82;38;63;59;88;11;87;18
37;18;52;37;65;18;92;63
89;78;89;47;38;39;47;40
55;72;95;91;56;25;33;64
57;32;23;81;82;30;44;70
74;90;22;31;57;44;91;96
33;58;94;41;33;70;28;92
90;39;72;51;14;26;40;11
86;56;88;51;94;80;21;20
51;10;94;33;94;68;59;83
90;96;83;41;20;17;82;54
93;96;35;17;64;24;70;10
52;19;46;53;96;78;48;54
97;40;27;53;59;81;84;96
63;83;58;25;87;57;31;84
78;81;19;45;21;58;30;50
24;62;24;33;67;97;46;52
43;39;98;65;27;25;45;95
89;71;19;98;41;69;80;41
72;26;66;32;70;96;43;42
67;35;98;99;35;25;92;98
11;56;72;70;27;38;51;65
49;72;85;91;76;96;70;41
55;96;53;91;18;81;83;31
94;16;39;48;35;31;90;49
11;83;40;93;64;51;79;18
80;79;66;70;57;67;79;56
41;90;48;67;24;92;15;23
34;64;64;64;11;63;89;35
80;73;89;12;34;54;87;68
63;66;88;61;21;40;89;84
33;47;35;32;73;44;42;14
52;45;38;61;39;95;37;77
45;84;37;64;81;95;98;27
21;92;27;80;32;47;26;51
14;45;80;71;70;58;55;35
66;93;86;93;52;71;23;33
82;27;21;68;74;84;60;34
41;42;12;21;93;95;98;96
30;73;14;55;97;96;85;63
98;84;36;83;19;66;86;50
82;43;20;39;42;91;65;12
91;69;52;26;80;84;32;81
34;55;70;24;21;45;91;93
44;31;10;54;29;43;40;12
49;85;59;91;78;24;33;91
66;69;28;33;47;22;33;55
74;28;54;14;69;72;27;42
65;96;49;41;82;51;34;26
25;42;85;44;42;50;43;78
22;30;14;19;89;73;45;82
89;20;43;98;27;10;33;74
67;32;49;24;42;47;14;90
87;97;82;21;11;75;79;87
69;53;66;81;96;60;34;30
64;64;49;66;10;24;70;95
67;76;13;79;53;84;67;32
99;38;87;86;93;94;36;26
38;21;73;28;82;52;32;92
16;16;50;73;68;55;26;14
48;14;29;54;20;68;56;30
77;61;72;69;42;83;15;21
97;54;68;50;97;31;41;42
76;84;26;28;96;74;59;36
76;75;86;89;61;80;58;93
45;97;82;67;10;29;55;56
90;25;46;43;28;72;74;75
86;94;73;14;83;32;86;65
76;40;98;32;69;70;86;38
56;92;31;87;50;38;80;88
25;88;89;21;83;71;77;50
97;48;19;26;35;93;69;92
58;99;57;26;68;77;69;64
62;77;33;11;85;48;67;29
46;73;83;62;78;49;32;88
64;71;69;49;65;67;38;67
64;93;50;44;75;16;51;70
51;30;73;15;85;47;20;54
35;63;23;71;45;71;12;19
99;57;36;61;60;84;90;21
93;83;90;42;96;51;48;94
20;11;35;82;62;77;65;46
34;82;70;41;91;84;45;43
45;10;65;93;29;39;79;31
46;63;24;34;16;75;53;83
97;72;74;63;16;41;53;89
60;61;38;89;61;62;17;47
39;55;78;57;82;88;55;26
86;36;18;54;69;64;33;88
17;65;72;43;40;43;66;30
82;68;91;39;71;33;21;34
35;93;63;49;55;37;25;62
46;66;98;98;20;15;46;30
25;79;89;56;30;22;78;76
35;65;27;37;76;46;66;71
60;54;75;43;14;32;96;86
28;92;77;34;11;59;64;89
86;13;35;58;18;67;27;68
81;16;45;84;84;26;20;52
43;36;55;89;81;92;55;42
44;97;36;98;53;94;93;31
61;65;56;46;44;24;19;17
72;22;47;60;43;80;36;84
73;21;52;84;28;53;35;21
49;90;88;74;56;47;32;48
31;88;62;10;98;28;67;22
91;87;72;92;88;36;56;20
59;50;56;88;48;93;15;81
47;31;66;35;47;58;71;66
55;44;35;38;24;32;78;25
26;35;99;11;87;68;24;99
22;94;56;24;28;43;60;45
12;55;27;33;80;96;76;61
85;19;68;83;22;11;39;22
48;99;30;16;45;52;74;49
76;51;69;99;26;40;25;27
39;64;62;16;89;61;38;87
74;57;75;10;59;28;61;17
44;44;92;46;64;53;14;82
41;40;30;85;67;83;56;36
92;43;27;54;74;10;77;71
10;28;25;64;84;47;73;19
97;76;54;75;79;81;21;27
25;50;61;30;70;82;67;31
63;92;36;83;52;36;52;50
50;40;27;24;41;27;17;30
97;71;25;54;69;51;84;90
53;36;67;47;88;70;97;73
42;34;87;92;57;59;46;76
69;73;54;76;76;73;64;57
67;56;44;76;90;92;23;94
90;86;66;21;34;13;67;35
39;77;22;28;29;63;20;46
42;90;19;98;22;10;71;65
29;59;21;90;90;23;47;19
29;50;20;33;92;81;94;59
45;90;30;99;87;33;39;62
48;12;69;76;38;53;58;43
32;71;41;51;51;93;35;31
74;99;15;16;69;21;43;89
11;63;11;25;19;21;66;65
44;18;36;31;94;57;77;85
98;56;57;45;96;91;49;25
50;92;98;50;17;60;42;52
86;57;27;88;68;15;50;81
27;61;71;74;11;91;42;53
16;57;61;60;25;39;85;44
83;28;38;55;71;82;58;99
10;28;54;55;34;43;40;89
27;70;93;89;95;27;95;45
52;67;61;78;26;40;57;99
55;98;32;36;45;10;10;69
13;56;59;13;60;48;34;13
75;30;97;39;56;91;14;19
66;37;20;85;68;92;56;93
53;54;76;15;67;97;87;87
26;55;75;58;44;27;70;61
20;54;79;94;97;12;80;61
35;31;49;99;30;96;37;25
70;28;94;18;86;90;28;26
57;98;26;89;64;57;13;19
80;77;33;56;92;70;43;92
24;59;10;11;93;48;73;14
61;32;34;61;44;36;63;52
45;72;60;63;74;99;20;95
65;28;35;49;16;12;12;35
76;18;29;14;87;39;33;57
11;17;75;54;97;60;93;26
54;12;63;91;63;31;62;19
80;70;87;29;31;27;21;83
19;44;34;67;48;11;33;77
11;10;46;22;19;42;51;63
92;23;37;34;19;90;43;17
93;96;57;65;17;34;41;69
70;12;85;54;27;99;24;57
28;61;82;16;86;21;47;61
21;55;93;81;55;56;44;62
16;29;89;70;15;47;89;52
18;53;16;44;52;99;22;84
34;51;71;31;29;51;11;17
81;91;77;87;80;92;85;75
78;39;20;67;39;71;53;51
40;73;93;88;50;90;19;77
35;60;23;40;54;38;72;34
98;12;49;49;11;44;63;64
19;40;77;24;97;39;48;94
48;32;93;26;44;93;17;13
63;34;20;49;80;77;53;36
33;74;12;11;17;72;96;20
14;66;17;14;26;38;16;53
41;95;13;55;79;15;75;20
85;29;26;17;31;15;42;16
84;90;18;19;94;11;55;48
97;11;86;39;31;31;32;63
59;67;21;93;97;84;91;75
96;18;23;10;45;63;25;44
32;45;66;73;86;86;58;96
36;80;96;82;82;51;98;48
58;72;24;74;15;20;64;54
86;70;33;14;72;90;23;56
41;62;34;48;87;47;22;42
78;31;42;34;68;17;47;75
89;50;19;97;74;21;59;96
37;83;47;93;15;82;89;38
27;90;77;40;98;78;86;66
28;39;30;57;15;96;89;55
