26;21;22
21;28;63
14;19;11
25;20;51
21;24;19
13;23;36
12;26;12
15;21;44
26;21;18
26;22;57
10;20;78
17;20;66
28;28;10
20;30;58
12;18;22
16;28;16
27;23;57
26;18;36
10;25;50
28;18;51
14;24;15
26;16;81
21;18;60
21;14;87
26;24;16
22;15;29
10;11;44
30;11;30
30;19;54
22;21;33
24;29;54
15;16;44
20;24;50
27;24;40
25;15;30
29;26;14
13;22;60
29;11;42
17;28;22
21;13;84
26;27;21
25;29;57
29;24;19
20;19;34
13;30;36
24;14;22
17;24;90
27;25;32
16;23;63
18;11;29
19;22;38
21;28;42
12;27;84
26;24;22
28;24;58
29;16;28
19;25;60
13;16;27
28;30;51
19;17;18
30;12;18
13;27;20
16;11;29
19;14;57
20;29;52
27;11;30
14;30;24
28;18;14
22;10;25
19;11;57
15;16;46
10;11;78
20;14;30
23;11;19
26;14;36
13;17;45
16;24;16
20;21;22
12;12;90
13;30;45
24;26;56
15;17;48
26;24;12
22;24;28
24;18;72
28;15;28
30;25;10
16;26;72
10;20;11
15;14;22
10;21;66
22;26;30
19;10;24
17;30;54
23;25;69
16;11;26
13;19;30
17;13;30
22;15;14
11;14;34
20;25;21
13;26;27
14;17;28
21;11;30
21;14;13
26;25;44
15;17;26
25;28;38
30;26;27
27;26;11
30;18;69
15;16;30
19;23;22
24;14;90
16;22;90
14;21;54
20;11;23
21;16;44
26;24;20
14;13;12
17;25;21
19;19;17
10;16;25
18;28;75
10;22;33
25;14;26
14;25;24
25;24;56
21;19;38
15;11;32
10;11;84
15;24;30
18;11;50
16;28;32
12;28;12
28;24;75
20;20;16
27;10;33
21;22;44
21;21;90
16;29;12
16;16;39
17;27;28
29;13;56
24;12;81
23;12;69
28;26;13
18;10;39
25;13;60
13;16;57
21;25;58
15;26;78
24;17;36
28;15;42
27;11;25
18;20;75
26;24;24
11;22;54
23;29;63
19;18;60
19;17;14
29;20;60
24;26;87
21;25;30
21;18;81
26;19;15
18;20;52
11;26;36
16;15;34
22;16;22
26;13;84
25;26;60
10;10;36
17;22;22
15;10;24
21;11;69
22;16;60
28;13;22
14;22;75
14;22;34
20;27;42
28;29;26
11;22;30
26;21;34
14;20;34
16;20;39
22;13;11
13;27;16
19;13;36
13;26;17
15;23;90
16;26;22
12;15;26
16;21;45
30;14;18
15;11;20
28;12;48
23;19;72
14;13;50
27;21;18
15;29;19
20;11;16
11;14;26
13;11;54
19;23;44
17;12;69
18;27;60
11;30;22
20;13;13
23;23;18
14;14;11
18;22;51
16;17;26
20;21;66
25;18;26
16;24;84
30;23;20
16;11;19
13;24;14
17;19;24
24;15;36
16;24;15
30;16;84
25;30;22
23;13;87
28;22;24
19;13;22
15;21;78
19;12;29
19;28;36
14;15;34
13;21;23
24;13;58
24;24;46
21;16;56
10;12;24
11;17;87
16;15;24
12;16;42
17;21;63
22;11;81
26;24;28
30;15;48
19;20;90
25;27;46
21;29;20
21;18;44
11;21;21
19;23;72
15;16;60
18;27;28
25;22;42
24;10;72
11;27;23
13;24;24
17;23;14
29;15;44
17;18;69
28;13;32
21;13;46
20;17;30
15;16;36
27;28;17
11;16;50
10;16;48
18;12;17
26;22;20
27;18;56
17;18;29
24;10;23
30;14;27
20;10;60
15;20;16
14;29;40
19;19;63
11;30;52
21;13;21
16;24;12
19;29;81
22;22;30
15;27;24
17;15;45
21;22;56
29;21;23
29;14;28
29;17;22
30;29;24
15;25;18
15;23;60
10;30;26
29;20;17
29;13;90
17;24;63
12;13;63
27;21;87
27;25;66
13;30;36
15;25;75
10;10;72
14;10;90
10;25;45
15;13;28
18;10;84
29;23;63
20;15;26
24;23;25
19;21;58
11;14;81
14;14;27
18;25;56
20;18;48
23;22;60
23;26;60
22;17;13
