89;25;75;26;67;87;121
84;39;21;57;46;65;103
45;81;62;67;47;32;56
24;36;83;38;20;27;71
18;53;20;43;30;50;99
44;80;20;32;19;54;103
81;106;127;145;173;203;269
58;67;49;33;18;46;89
26;54;80;98;127;147;189
56;83;104;124;148;173;241
88;86;47;38;23;48;76
18;37;24;39;30;74;94
61;70;65;59;25;60;123
82;111;141;171;198;228;249
27;55;78;100;119;145;212
80;29;73;85;53;46;85
54;48;80;66;49;54;109
20;41;51;26;42;78;130
39;85;89;33;19;89;121
68;73;80;23;75;77;97
35;61;35;34;62;57;110
36;65;87;116;142;160;222
90;42;48;55;23;68;101
24;77;42;80;20;46;81
24;45;42;57;76;29;63
80;102;132;155;175;195;256
78;41;81;55;37;34;102
63;92;121;142;167;191;210
81;88;78;38;36;39;68
53;61;79;41;56;79;128
69;77;84;38;21;33;53
83;46;24;85;90;72;116
54;60;35;52;51;36;92
53;42;33;57;53;90;146
21;39;67;90;109;133;178
51;69;96;120;140;168;212
47;38;51;50;70;29;82
22;40;68;91;109;132;200
37;86;80;29;29;49;106
48;51;68;21;49;75;95
58;81;100;123;146;174;230
88;88;87;60;32;39;93
88;75;34;33;35;78;119
78;96;124;150;171;201;258
89;27;69;45;44;52;83
70;35;67;84;81;84;147
51;81;103;125;145;172;216
60;28;47;54;19;28;56
58;78;101;131;157;176;238
72;55;78;90;63;64;108
53;35;79;77;73;82;145
20;50;44;29;64;87;127
38;26;64;83;49;66;85
69;56;52;53;18;47;111
53;74;99;129;152;176;233
42;46;76;64;74;45;107
40;84;39;68;65;27;72
38;78;26;34;72;31;55
59;60;22;39;68;90;119
54;44;53;35;21;32;96
40;69;60;32;38;43;99
32;32;65;59;64;39;102
70;31;33;86;38;25;57
74;61;37;56;54;30;73
34;41;69;51;38;31;74
43;62;70;71;41;41;64
59;79;54;83;85;58;86
75;96;125;148;172;199;244
56;46;76;49;21;32;64
72;52;50;51;67;21;69
64;90;34;67;59;69;128
83;23;75;24;27;74;138
30;76;43;74;45;84;144
82;73;24;51;62;82;131
52;19;40;84;63;63;124
52;83;89;87;35;37;85
22;60;45;45;24;47;95
47;76;28;60;69;25;78
21;38;74;48;66;48;95
34;59;80;107;137;158;220
30;61;38;42;18;36;84
38;59;81;102;125;148;183
78;30;69;70;71;86;117
45;41;70;20;39;85;110
62;42;49;31;57;45;99
24;52;69;56;49;67;110
90;34;21;26;58;85;150
37;30;43;21;42;61;124
57;82;112;139;160;179;208
87;81;29;89;22;33;89
38;77;61;72;77;30;87
50;43;57;30;32;29;49
70;35;70;78;34;64;132
22;75;41;74;40;68;132
70;77;75;47;41;34;103
59;80;99;125;146;173;231
22;41;65;83;112;134;155
38;88;30;87;75;18;82
32;67;65;24;58;48;90
73;55;79;44;35;41;100
60;56;40;42;58;50;77
53;78;101;121;144;162;194
64;73;57;25;84;74;95
75;49;44;89;65;57;100
62;83;38;60;30;86;132
69;36;41;64;60;87;134
66;73;31;57;86;55;94
50;21;75;70;34;24;52
45;74;101;128;151;180;208
38;65;45;89;84;64;102
50;39;66;23;84;77;108
73;60;85;70;90;58;127
55;38;78;76;73;65;124
78;97;124;152;180;202;264
36;86;19;58;50;64;116
83;108;134;159;181;207;272
79;90;46;56;84;73;109
26;36;64;44;36;42;89
43;74;40;40;86;19;42
81;45;31;69;89;35;71
30;28;18;73;50;87;131
75;63;36;75;77;78;102
38;57;80;102;125;155;200
87;105;130;151;180;210;280
39;79;86;37;64;39;68
36;37;30;46;42;21;74
64;59;40;29;48;66;132
27;52;81;105;130;159;218
50;59;22;18;86;68;93
60;64;85;34;39;59;92
47;83;55;53;22;49;84
21;35;57;54;38;22;47
57;80;109;138;165;195;218
26;56;89;55;22;79;126
66;65;82;82;41;81;116
80;67;42;39;51;58;108
76;102;126;144;169;192;240
34;18;36;79;55;54;87
51;69;97;120;140;162;230
43;87;65;44;72;38;82
54;34;76;20;88;22;51
48;35;81;61;52;40;60
49;44;53;29;18;74;112
65;57;83;29;57;61;86
87;46;36;88;62;58;128
25;47;37;41;62;40;79
56;36;61;49;44;25;53
69;76;84;71;42;78;120
52;71;93;115;141;169;221
73;91;110;135;165;183;234
68;83;46;57;63;89;120
67;24;60;61;77;40;73
52;29;59;53;56;85;144
31;47;90;88;79;83;115
31;41;54;69;81;88;134
45;28;46;45;40;73;94
31;35;57;57;65;24;87
73;39;90;77;31;74;92
67;74;86;34;73;85;117
79;66;37;58;69;51;96
28;70;22;23;72;23;70
52;67;37;21;65;34;77
51;78;99;122;152;176;229
31;31;45;41;44;26;63
43;72;90;118;147;171;193
50;77;97;125;150;179;240
24;28;36;31;53;82;116
80;38;38;90;35;19;59
46;87;40;74;78;34;71
71;57;27;52;18;22;82
31;80;79;78;44;39;63
46;22;78;86;79;89;124
69;56;59;60;39;48;111
50;69;70;73;54;27;90
53;45;83;41;83;38;108
66;61;87;84;27;89;130
24;31;33;34;39;44;109
71;64;65;22;22;66;112
78;32;36;88;24;33;89
63;62;58;70;69;49;91
21;19;28;31;65;75;107
84;62;21;26;30;43;76
45;66;80;35;58;60;108
64;80;64;88;85;47;101
29;40;40;66;45;38;63
73;18;49;80;54;83;135
40;74;73;79;70;78;111
52;82;103;127;156;177;232
81;82;28;82;27;31;96
44;73;95;114;143;168;215
40;70;89;112;131;156;193
71;65;74;22;36;30;92
86;21;83;64;34;51;86
39;19;46;59;57;82;126
61;23;29;71;85;38;80
78;34;21;60;40;50;94
40;61;80;98;117;147;207
78;63;60;63;30;58;125
59;81;111;132;151;176;225
80;56;49;40;78;87;139
60;21;88;70;83;76;123
35;70;49;87;42;75;100
70;79;30;45;22;33;52
45;30;66;20;20;87;147
68;22;50;89;76;49;89
57;35;52;26;82;43;99
25;44;67;93;122;146;173
43;46;61;82;47;36;97
82;19;22;87;84;32;55
20;47;73;92;113;133;197
50;78;97;125;144;163;233
21;67;23;37;57;75;106
86;21;56;43;53;36;57
74;104;124;152;174;193;231
67;65;71;85;35;86;153
87;27;40;39;65;22;75
50;69;26;35;23;60;102
41;78;56;90;53;50;78
32;19;62;87;53;64;91
38;61;90;116;144;171;211
63;83;105;133;157;185;206
81;35;87;73;90;88;144
43;49;25;63;26;54;106
47;41;20;27;85;85;116
41;53;74;66;31;41;64
81;105;125;153;174;196;246
34;59;86;108;134;162;207
64;68;51;47;87;88;130
81;111;131;149;168;187;234
32;90;45;54;66;70;92
36;63;71;84;64;85;134
36;61;42;27;22;88;122
63;28;82;89;36;84;148
35;63;83;110;132;160;185
51;38;51;41;71;77;121
45;72;40;85;22;86;145
44;39;52;80;86;54;117
40;61;81;101;122;150;182
59;83;103;123;145;174;223
38;51;76;21;20;84;136
39;39;56;25;65;46;114
34;51;89;74;24;27;88
49;75;77;70;41;58;88
34;79;21;37;89;36;106
69;83;80;24;26;62;88
51;78;105;126;153;175;223
62;36;72;73;19;23;88
86;70;74;63;23;25;81
32;72;75;88;41;56;107
71;22;43;31;68;26;58
41;59;85;108;129;149;205
65;43;33;62;57;40;107
39;89;30;89;69;61;81
23;27;63;31;22;63;91
89;81;23;55;73;79;126
51;76;42;37;86;80;136
65;26;44;54;45;36;99
55;59;90;72;51;43;68
65;85;105;126;147;167;223
64;79;43;33;73;41;106
21;85;24;26;22;50;84
49;68;86;109;136;161;221
61;50;82;20;48;57;103
26;80;57;39;28;52;78
78;84;50;37;47;24;44
87;47;85;49;27;24;83
49;65;43;49;68;52;76
67;95;119;143;171;195;250
21;82;36;46;53;80;130
23;53;53;70;77;73;109
37;58;27;44;80;54;99
38;64;90;118;146;167;196
53;24;53;22;76;38;70
55;78;99;127;149;175;195
26;39;70;41;28;69;90
20;73;80;76;87;76;136
61;49;56;39;26;52;103
55;83;54;45;30;52;120
73;62;88;61;62;29;80
63;89;109;135;159;178;200
40;49;74;48;88;76;120
60;85;110;129;149;167;209
81;78;18;42;84;31;50
54;46;83;52;30;50;82
65;83;67;64;79;84;117
47;72;94;118;136;157;214
34;44;74;61;84;19;67
71;89;24;43;58;34;82
83;101;129;149;172;199;269
56;27;20;51;46;52;72
43;81;60;63;29;24;59
