47;36;18;16
37;17;1;13
7;41;23;23
40;22;16;13
38;13;9;10
33;36;32;38
9;46;25;50
24;21;32;23
3;31;42;25
48;27;37;37
41;4;16;30
40;25;15;2
25;32;43;30
29;20;30;34
3;35;19;1
41;27;25;12
41;27;9;22
27;30;38;2
10;28;33;16
47;34;14;38
41;50;19;24
13;2;27;27
23;22;7;13
8;23;43;29
5;27;4;17
41;16;13;40
47;33;20;45
43;33;16;49
1;42;37;30
37;11;26;34
34;50;47;48
46;12;34;32
13;30;10;17
47;6;44;8
41;42;5;47
20;19;7;29
35;45;17;8
44;36;16;4
42;42;2;34
49;48;21;8
42;14;4;11
9;20;2;45
13;42;41;49
50;43;39;44
29;29;27;29
24;1;42;14
10;35;42;15
1;4;14;14
13;15;22;46
47;7;50;44
27;16;7;9
22;28;40;38
32;43;22;33
42;27;26;16
2;15;44;1
33;46;27;16
47;13;13;19
20;45;46;15
20;34;38;16
46;13;21;13
1;11;4;31
20;45;14;17
1;23;1;46
8;40;13;24
32;26;36;4
31;22;16;27
4;20;20;11
35;41;31;31
28;39;50;17
15;47;18;23
50;42;50;28
8;37;22;4
42;26;19;42
2;16;5;46
43;13;4;6
28;21;5;16
47;11;11;2
45;18;6;29
42;14;8;31
6;1;35;28
15;44;41;33
40;22;23;47
41;8;49;30
40;39;20;22
21;15;39;18
46;34;31;41
33;10;22;45
22;5;15;28
31;50;34;37
14;23;23;14
38;40;24;34
11;35;16;11
11;29;18;28
22;28;17;24
37;34;32;3
12;45;23;26
34;9;9;10
14;48;19;16
11;2;36;45
44;50;16;19
24;42;23;30
26;45;26;3
47;19;28;19
34;45;17;1
10;12;24;19
40;19;16;15
3;12;5;14
38;46;44;21
15;38;44;31
33;10;43;41
7;3;43;11
14;36;1;3
10;45;10;39
42;48;42;21
4;25;48;21
15;19;20;31
16;33;49;49
11;32;11;34
42;15;27;7
35;31;26;25
29;32;43;36
38;47;37;24
28;13;19;34
45;24;27;4
14;16;10;46
31;45;44;37
22;8;6;29
32;5;24;50
8;40;28;16
13;9;4;45
23;7;11;40
31;50;12;41
13;22;39;29
2;44;15;7
38;47;48;4
15;13;18;11
17;33;21;29
17;30;18;8
46;3;28;19
42;42;9;20
8;12;8;18
22;26;28;48
45;31;16;29
34;3;25;7
39;22;4;42
47;18;23;49
18;1;32;10
45;11;39;13
10;30;41;12
26;11;38;43
42;4;24;20
35;42;33;29
20;46;23;26
25;45;16;11
37;31;19;38
41;30;39;2
36;6;8;25
7;11;11;31
45;46;28;16
37;5;47;22
41;29;13;7
32;4;32;45
20;27;48;31
4;14;13;38
29;41;24;12
28;41;41;46
19;9;7;23
23;26;24;9
15;6;36;11
37;27;44;9
14;19;27;39
28;14;24;37
31;12;13;50
2;23;33;24
9;33;11;8
10;6;15;7
38;4;37;25
4;43;24;13
47;4;32;11
29;37;25;50
35;18;7;1
37;1;33;29
14;48;48;25
40;5;10;14
45;7;43;24
4;17;12;34
41;31;49;14
44;25;41;18
7;4;46;46
29;38;17;26
13;5;48;16
6;29;27;37
14;14;6;30
40;21;46;24
35;14;28;47
6;19;6;4
47;44;19;12
22;13;18;9
17;47;26;42
40;30;4;36
19;30;18;26
43;47;45;3
3;43;16;22
26;24;7;2
9;9;44;34
36;1;3;20
28;42;14;40
42;28;33;11
28;12;4;47
25;3;42;11
38;24;18;4
7;10;22;47
41;44;47;6
26;19;48;40
47;41;29;39
21;19;3;8
43;34;50;41
38;13;37;24
32;12;6;48
6;20;2;13
10;26;48;13
17;30;16;49
41;44;48;11
12;10;5;16
16;1;4;19
18;38;4;2
5;27;25;43
19;27;23;46
40;1;5;45
10;30;10;23
25;36;16;17
27;48;10;5
8;3;42;20
48;36;8;35
3;10;49;4
6;14;29;15
35;29;46;47
48;39;43;40
38;15;40;19
8;31;33;29
42;22;16;12
37;27;47;39
21;14;1;43
6;48;35;25
14;46;37;40
20;42;14;25
40;45;1;17
21;17;12;21
40;21;17;50
37;21;50;20
23;14;33;25
2;40;44;23
36;30;34;21
46;28;30;39
7;27;9;12
8;46;36;5
27;7;22;12
15;36;24;24
46;22;3;28
43;22;3;33
12;24;28;34
26;21;47;32
46;50;13;7
7;41;26;22
15;10;24;16
30;39;27;31
2;4;19;16
3;8;37;22
13;46;3;6
37;50;33;21
5;37;36;8
42;16;50;46
23;41;25;30
29;34;38;50
5;25;45;16
37;39;31;24
37;43;24;25
17;43;46;8
48;40;25;5
28;31;11;14
48;14;21;23
10;44;14;17
33;9;22;41
39;19;26;18
41;19;49;3
11;8;39;32
43;17;13;4
41;47;39;29
46;35;43;19
36;12;50;2
2;18;50;28
29;5;37;22
10;7;22;16
6;17;36;16
36;2;5;18
18;8;39;45
23;1;39;27
6;2;25;50
45;44;40;50
18;27;40;33
22;42;4;24
2;35;44;10
30;48;26;30
11;16;40;45
10;38;2;24
7;19;42;34
12;29;2;49
7;12;26;40
49;17;26;42
46;22;7;50
4;23;36;31
18;45;31;20
6;49;5;45
45;4;47;13
39;44;34;7
21;49;26;29
28;19;24;44
8;25;46;49
48;2;14;16
3;12;26;17
50;18;23;40
12;48;21;40
21;6;42;2
14;23;17;2
48;20;20;33
6;50;10;49
17;45;48;38
4;35;5;22
40;46;31;32
7;46;41;5
2;26;18;20
30;27;16;31
43;39;16;35
14;33;39;46
22;48;21;1
12;19;38;12
23;24;21;34
8;3;35;25
6;5;49;12
27;39;33;3
49;46;33;28
9;25;9;6
25;38;32;31
5;32;11;11
3;20;38;36
6;20;33;21
24;30;31;2
25;26;9;2
14;7;36;39
45;28;4;31
20;9;30;48
16;3;24;49
19;42;48;32
16;23;42;6
26;42;12;12
20;28;6;10
41;18;41;43
44;45;40;47
17;15;47;13
15;17;24;26
15;24;1;31
1;24;31;26
30;13;14;2
49;27;31;27
34;47;2;34
35;50;14;4
30;29;43;47
30;13;2;44
47;2;3;14
19;27;22;13
20;27;45;8
4;20;20;16
1;12;46;38
35;38;35;2
50;37;2;39
20;27;37;2
14;8;19;2
25;9;9;2
18;35;46;4
5;36;3;14
2;33;23;1
11;37;6;34
1;23;3;43
21;10;24;29
16;21;28;37
5;3;40;10
40;28;40;14
45;34;33;50
41;25;41;49
26;22;28;36
29;13;37;15
45;16;22;10
2;13;30;19
35;2;28;36
23;47;25;22
24;38;9;49
30;41;35;31
45;15;16;40
32;33;39;22
25;48;8;5
10;42;8;14
42;36;23;21
9;41;3;28
38;41;30;8
24;7;11;23
32;47;43;19
22;1;23;42
23;18;15;46
41;25;38;45
44;49;37;20
17;47;24;25
29;6;48;10
26;35;46;38
38;43;12;41
23;47;46;46
31;4;23;20
27;37;13;34
37;50;35;42
30;29;14;35
42;7;1;46
43;47;43;13
7;21;39;46
2;19;34;24
1;4;3;22
49;28;5;7
43;40;24;39
12;29;41;23
37;22;48;22
12;1;43;40
5;20;46;22
43;6;12;36
30;21;37;38
49;42;30;14
19;8;15;27
