126;11;57;21;56;150
137;166;168;193;166;137
76;9;9;9;43;76
96;96;41;41;41;30
43;75;43;75;86;75
159;75;58;183;145;156
74;87;74;87;159;74
180;135;107;118;96;121
43;45;105;43;45;53
26;60;153;81;39;167
99;99;68;68;26;99
67;162;150;67;56;150
194;194;23;86;166;23
93;123;31;31;123;93
28;64;33;33;64;33
15;48;15;15;5;5
63;138;33;33;63;33
83;175;190;68;171;158
179;44;112;179;132;112
82;26;70;26;82;82
31;20;31;20;31;24
66;49;49;66;14;66
144;19;170;117;144;19
58;39;39;10;39;10
23;71;23;71;23;120
96;54;54;54;115;96
49;73;49;49;73;196
92;74;58;74;92;92
14;61;14;189;61;14
70;38;38;29;73;29
63;90;63;82;90;63
122;53;45;53;45;45
81;129;186;71;86;79
29;7;29;7;7;92
10;140;74;74;74;10
46;46;16;46;174;16
94;18;18;18;14;14
37;23;23;37;23;37
30;83;30;83;193;83
146;103;103;84;84;193
14;63;14;14;63;70
77;60;57;27;11;126
61;61;13;13;13;68
139;172;73;132;194;113
148;53;53;187;148;191
91;167;71;91;71;91
25;25;175;127;45;175
146;39;33;33;33;39
21;35;33;158;119;112
53;53;53;53;53;143
99;99;99;169;77;77
31;31;31;49;49;53
14;63;14;63;14;123
54;54;48;30;48;30
65;137;34;153;74;84
15;82;15;15;58;58
59;88;88;91;91;88
38;106;188;38;38;93
47;15;156;47;15;15
25;51;178;71;47;154
183;159;175;184;123;26
5;5;25;160;5;25
48;186;14;159;106;141
78;187;121;104;121;187
26;26;70;70;70;28
78;78;101;49;78;49
106;93;25;93;25;25
159;101;86;193;18;54
190;49;63;49;63;190
63;63;51;51;51;143
72;197;85;156;85;72
184;6;6;54;54;6
12;188;12;173;173;136
10;10;193;193;48;48
7;7;107;9;7;9
23;23;32;23;32;80
24;24;86;55;55;55
17;42;42;17;42;172
114;5;5;25;25;25
36;46;146;36;46;46
38;60;60;38;60;137
23;31;31;23;110;110
135;134;165;165;200;200
28;23;71;71;23;23
139;25;7;25;7;7
149;98;45;149;45;109
93;157;63;10;10;157
75;91;26;91;26;26
200;20;85;20;85;20
171;189;46;198;46;189
126;42;32;42;32;126
31;175;31;175;64;114
48;48;73;149;48;73
21;18;21;18;23;53
13;80;80;72;13;80
22;197;22;100;197;100
154;15;140;187;188;170
81;81;73;101;73;73
62;161;37;20;88;150
161;77;56;77;56;56
53;42;42;183;53;42
63;61;62;114;97;194
32;78;20;78;32;32
161;85;114;85;114;128
39;24;30;195;40;94
104;69;86;69;69;20
138;138;169;26;68;169
40;73;47;97;136;181
148;148;88;148;23;16
56;97;47;163;163;47
95;97;84;97;97;84
55;55;153;110;170;170
43;159;157;159;184;157
60;60;64;64;151;60
46;46;16;11;36;46
175;188;152;54;25;173
136;191;16;16;63;136
63;75;63;75;31;75
90;90;90;90;117;90
173;135;56;166;113;199
173;33;33;85;85;85
58;143;131;181;46;44
189;118;200;44;183;48
123;91;172;29;91;172
99;99;15;15;15;80
181;11;182;106;37;78
98;90;90;182;90;98
182;72;199;199;106;72
146;40;40;146;88;27
127;131;170;170;144;127
26;61;118;61;26;61
49;49;49;87;39;39
77;74;77;149;74;74
64;96;96;5;96;5
80;11;173;161;62;150
15;87;15;87;103;15
14;31;31;31;35;35
61;86;61;17;86;86
98;98;92;157;98;92
80;144;144;36;147;186
108;177;177;19;19;108
126;105;158;11;11;105
32;32;32;80;13;80
156;90;30;156;30;161
160;83;62;62;62;83
138;156;167;167;131;138
97;47;47;121;97;97
70;13;70;70;13;150
87;62;62;87;79;62
6;6;82;82;40;6
44;68;163;199;105;132
92;92;92;32;53;32
150;78;107;120;57;32
84;54;54;149;84;84
176;16;24;111;119;77
47;106;106;16;101;16
144;39;51;144;39;147
64;187;19;165;147;152
44;44;155;93;163;93
165;47;47;25;25;25
51;134;100;134;100;121
51;190;57;57;101;190
68;97;68;159;68;97
114;106;47;33;58;194
52;184;128;52;53;52
9;41;9;41;9;173
47;172;97;105;61;76
86;183;183;171;183;91
25;25;48;92;92;25
64;81;81;11;64;81
27;32;172;147;126;54
42;197;192;59;184;56
38;38;17;38;168;34
44;132;11;44;11;11
44;44;141;141;78;110
17;74;20;74;17;74
177;159;119;65;193;180
154;45;122;41;154;45
85;99;85;85;99;41
31;31;14;14;192;14
64;64;17;84;17;64
37;37;110;6;6;6
74;59;74;49;52;52
65;95;89;152;26;151
171;152;193;17;42;52
28;83;28;28;83;191
99;66;115;30;113;53
26;26;99;28;26;28
87;25;25;171;25;87
30;60;30;94;60;60
157;157;155;197;68;197
79;163;108;179;77;126
72;85;72;85;88;85
60;81;81;199;60;199
99;148;130;133;14;100
47;151;85;97;85;47
26;26;61;61;43;26
70;70;14;14;12;39
117;178;118;53;150;79
82;122;82;158;117;122
54;181;35;54;54;35
134;42;42;83;57;57
93;81;19;29;75;107
77;121;74;77;74;77
89;198;19;198;19;126
98;44;98;98;127;44
72;72;57;72;57;166
19;51;51;12;12;51
43;89;89;43;152;89
58;74;74;58;106;58
144;49;20;49;20;20
197;171;151;84;72;25
64;178;64;89;64;89
121;10;116;48;184;133
37;190;91;52;78;70
11;142;118;118;172;11
40;193;53;53;40;53
162;95;162;194;163;194
158;37;36;37;36;37
46;39;46;39;88;46
65;28;65;65;28;91
186;143;180;37;172;94
59;59;43;82;59;43
25;95;55;102;15;145
38;17;31;26;31;38
83;57;83;49;49;49
20;66;49;66;20;66
96;76;76;96;120;76
197;174;197;142;106;142
194;70;194;70;177;177
139;129;177;139;177;129
157;144;169;153;95;173
140;68;140;173;70;68
30;49;53;30;53;53
96;57;108;96;96;57
88;150;13;116;83;81
5;46;5;46;133;5
108;87;58;78;85;104
45;141;63;63;45;178
13;141;60;13;60;60
77;81;81;77;77;110
26;193;163;126;26;163
28;96;85;28;85;28
195;195;193;195;44;178
148;130;140;174;140;148
50;50;95;95;95;165
20;53;53;53;42;20
43;121;87;87;43;196
41;76;33;33;76;76
18;18;51;51;18;180
171;67;67;36;36;36
190;135;166;95;139;68
179;196;21;90;62;122
168;46;49;93;27;53
180;40;50;125;91;121
80;42;42;72;80;42
16;16;29;144;29;29
24;49;66;24;66;66
43;13;13;11;13;11
132;111;164;111;164;21
175;133;83;152;37;127
24;93;93;24;23;24
38;96;72;96;72;72
32;38;32;38;38;131
70;70;70;26;197;26
39;82;39;27;82;27
12;73;157;12;73;12
86;18;18;22;18;22
42;134;169;38;36;190
122;21;126;21;51;126
60;85;85;73;73;85
166;173;173;58;173;39
151;75;75;22;22;75
51;71;51;71;89;71
175;192;20;20;175;35
15;15;41;104;15;41
14;8;14;14;8;59
96;38;96;77;96;38
133;30;138;56;142;195
30;82;82;30;30;133
149;35;73;35;73;35
91;65;34;65;65;91
82;103;47;82;172;47
127;62;99;42;109;198
27;27;170;81;27;81
19;101;101;45;45;134
110;79;110;104;129;129
46;96;46;96;183;96
33;33;149;149;176;196
160;39;107;61;130;155
125;16;14;125;98;98
54;30;30;169;30;54
169;130;39;39;145;169
119;16;16;73;73;73
136;10;197;129;38;104
103;160;199;160;24;24
33;55;102;159;34;114
37;73;37;150;58;150
9;9;13;51;51;51
12;56;12;74;12;56
81;89;89;61;89;61
183;39;173;146;198;171
25;84;84;84;104;25
67;90;44;90;90;44
105;84;48;105;196;48
50;50;8;80;50;8
56;70;80;119;172;197
11;82;11;90;11;90
37;37;95;95;95;200
43;43;80;80;43;58
69;69;59;56;61;61
75;160;17;17;75;17
57;148;103;99;96;45
58;136;69;142;174;63
182;88;88;38;38;41
160;124;147;124;160;147
107;134;89;134;92;107
190;20;151;141;38;136
59;68;68;59;188;59
107;107;98;187;187;98
62;62;37;70;70;70
72;72;72;38;199;38
32;52;32;52;81;32
60;40;60;40;26;40
18;14;104;123;110;40
144;43;54;54;54;43
159;102;174;102;92;176
174;174;75;82;52;82
46;46;31;111;111;31
185;70;134;134;134;185
14;14;14;93;93;187
46;46;21;46;174;21
152;5;5;5;29;29
20;19;76;19;19;76
198;185;129;13;117;171
76;76;48;34;48;76
182;59;127;103;57;155
164;74;57;83;74;57
112;29;112;194;29;167
41;35;35;98;35;98
174;108;114;174;105;105
191;180;178;72;180;178
97;152;40;97;152;40
15;188;43;71;197;134
134;191;185;168;179;125
133;185;143;102;87;72
154;93;93;56;175;154
59;14;168;14;69;59
182;89;89;61;61;89
11;11;94;94;45;11
154;153;153;37;154;37
124;193;67;28;89;43
96;96;96;85;96;96
76;76;81;81;81;64
35;174;35;64;64;64
86;30;96;96;49;30
17;73;62;113;155;75
44;72;72;72;71;44
132;14;89;89;23;132
182;194;196;129;148;23
5;157;67;5;67;67
7;24;7;163;24;24
29;145;156;157;120;122
31;90;61;31;90;31
72;72;72;54;86;86
13;182;13;75;75;13
27;20;27;123;83;20
34;164;17;34;17;17
144;45;45;15;15;45
49;98;120;98;49;49
39;9;39;90;39;9
117;109;29;23;29;23
77;194;65;77;77;65
36;61;36;12;36;12
90;26;20;20;26;26
35;57;57;35;57;132
52;10;33;33;33;10
102;52;55;52;55;55
147;173;19;147;147;85
150;134;47;150;134;192
30;27;30;27;30;54
54;18;18;80;54;18
50;50;149;162;50;149
71;32;49;32;32;71
74;74;49;123;74;49
65;64;65;65;132;64
121;182;85;85;182;169
19;179;179;185;185;118
83;16;16;25;70;70
