66;39;95;5;66
82;69;39;10;44
93;99;56;79;48
86;45;31;44;88
57;47;53;32;37
53;46;76;42;74
72;6;32;41;62
32;96;30;60;93
50;61;26;46;31
73;23;8;3;67
50;43;41;98;19
56;1;25;22;42
63;66;68;2;31
14;56;51;41;20
65;43;15;17;62
7;46;44;19;86
84;86;27;92;20
93;59;44;52;75
80;55;62;76;51
49;28;56;30;39
46;21;86;8;84
15;51;90;88;74
50;32;63;18;10
29;94;7;87;21
46;90;13;40;66
36;86;91;50;77
31;84;97;92;20
31;25;93;15;50
90;57;47;4;66
27;44;50;82;9
22;14;27;40;55
20;57;40;5;22
12;2;74;89;43
10;57;83;81;28
68;82;89;44;89
21;12;60;39;81
29;70;37;76;83
11;36;76;5;48
72;81;90;91;99
72;97;24;4;8
51;24;97;14;63
58;14;84;40;54
95;78;35;21;56
79;13;23;13;2
76;65;18;86;11
57;13;64;80;14
61;58;37;96;38
69;56;18;92;7
80;4;27;39;45
5;75;27;69;15
80;49;26;98;95
4;66;55;74;27
1;12;49;46;11
23;52;70;54;33
7;57;10;35;70
34;62;51;15;68
69;18;1;96;61
86;8;50;7;80
51;94;3;52;86
21;12;53;8;93
61;7;32;67;69
7;17;57;73;39
35;2;8;35;59
30;14;42;57;63
13;93;12;67;13
31;81;20;49;32
64;67;86;13;10
57;85;92;77;98
62;80;21;3;10
19;3;58;54;4
29;21;84;89;3
77;4;88;65;98
86;91;99;44;61
31;73;35;27;67
55;35;86;9;8
41;77;83;96;70
98;58;97;30;52
80;45;66;75;2
51;63;46;35;62
75;85;3;80;99
95;41;9;44;77
54;48;36;22;16
60;22;2;68;47
68;89;10;96;8
6;54;98;67;27
16;27;56;22;89
57;42;2;3;80
32;52;54;27;65
85;33;99;11;2
85;83;52;97;22
69;24;73;37;24
35;55;72;65;9
96;19;86;44;90
28;31;45;45;28
46;88;55;80;19
65;5;15;97;58
73;93;91;58;49
4;80;24;13;11
81;55;28;38;8
56;78;51;44;77
35;21;14;82;23
72;72;51;83;59
49;5;25;60;60
15;21;9;5;72
66;33;41;13;81
44;13;2;27;4
69;7;83;7;56
39;29;54;76;30
63;43;78;19;17
46;7;64;51;25
75;68;69;80;73
22;90;10;50;63
89;55;19;96;41
1;65;80;87;76
83;62;52;56;74
88;14;82;68;5
41;32;74;46;80
36;35;74;53;12
16;46;67;4;41
11;41;86;8;5
54;17;3;40;17
33;19;25;11;4
64;13;90;60;89
51;96;72;67;72
73;38;1;34;9
69;66;91;27;35
5;93;54;50;17
65;57;48;73;10
27;16;68;53;3
76;41;69;26;55
6;26;47;81;84
95;72;22;68;98
88;76;42;88;42
52;5;6;1;34
21;38;37;4;81
32;17;80;45;9
42;85;19;75;5
70;68;70;24;3
29;49;29;68;25
92;21;91;21;6
42;95;46;54;99
80;6;3;29;88
69;35;49;21;7
62;51;1;5;54
56;41;73;64;28
21;27;15;69;47
91;92;39;23;76
54;80;50;93;45
26;15;68;17;74
75;98;90;61;52
66;97;85;52;32
40;24;30;38;3
61;86;22;88;57
5;55;5;96;38
44;15;12;69;97
25;51;66;99;98
39;57;29;46;43
9;88;49;19;78
63;95;15;7;48
21;2;31;54;27
92;10;64;24;46
90;46;11;36;45
77;54;28;73;9
96;51;31;44;69
97;84;39;72;27
17;97;21;31;79
19;83;65;74;54
29;18;18;48;40
42;73;54;4;58
29;72;47;67;49
42;67;8;77;28
96;11;34;98;81
45;18;64;36;93
97;65;34;27;19
87;61;91;30;69
25;95;19;40;10
79;23;27;54;97
72;45;40;59;79
20;97;5;54;45
51;73;54;73;9
12;9;5;70;30
58;91;14;22;25
3;24;19;7;96
93;30;18;55;54
23;45;39;71;90
42;32;87;28;21
21;6;8;86;2
99;38;56;29;16
88;78;53;20;72
83;28;28;21;90
28;38;19;80;95
72;91;37;65;5
19;88;22;50;29
55;81;18;36;9
56;44;86;94;75
39;70;21;94;33
72;47;91;30;65
62;30;6;26;58
1;40;96;81;9
61;51;74;40;82
79;90;28;51;36
32;65;41;42;26
65;15;38;32;49
16;94;8;42;95
61;2;64;64;24
2;9;17;89;17
16;95;51;95;98
75;51;26;79;25
79;97;3;72;98
7;98;51;31;23
4;64;18;90;78
2;10;93;19;91
33;75;17;51;65
26;31;71;74;89
75;61;14;83;14
98;13;47;52;76
83;74;21;83;93
67;24;40;70;96
99;97;86;78;60
72;91;58;98;8
94;52;40;68;78
4;19;69;60;80
91;71;85;59;16
78;8;75;24;53
6;89;63;64;46
7;67;63;60;36
99;92;97;1;77
55;76;98;8;3
42;39;53;51;15
12;99;87;52;96
66;50;45;80;54
22;71;61;31;52
14;59;68;91;42
91;90;30;80;37
83;63;98;20;54
34;22;46;20;71
89;52;39;57;88
69;70;90;63;56
24;86;57;22;61
54;38;17;65;16
62;84;89;38;88
52;93;5;53;15
22;83;26;58;71
56;72;32;50;50
75;27;19;33;68
94;80;7;96;35
9;39;14;19;47
2;91;90;7;48
6;57;62;8;80
17;52;81;55;97
99;26;49;89;64
56;58;36;70;18
87;20;12;60;19
28;77;79;78;23
99;73;94;6;42
53;64;87;55;9
28;34;83;42;62
4;29;90;50;7
61;55;63;52;88
66;50;40;50;39
83;34;98;96;99
7;96;10;60;90
81;2;95;91;23
11;63;15;54;87
3;70;27;89;14
35;9;66;46;1
56;14;39;97;67
21;92;85;24;87
